,MUE_1,MUE_2,MUE_3,MUE_4,MUE_5,MUE_6,MUE_7,MUE_8,MUE_9,MUE_10,MUE_11,MUE_12,MUE_13,MUE_14,MUE_15,MUE_16,MUE_17,MUE_18,MUE_19,MUE_20,MUE_21,MUE_22,MUE_23,MUE_24,MUE_25,MUE_26,MUE_27,MUE_28,MUE_29,MUE_30,MUE_31,MUE_32,MUE_33,MUE_34,MUE_35,MUE_36
FUE_1,0.5824560335525623,0.025301055133555562,0.5737081670557593,0.5951305890016146,0.42028763045066597,0.5185924963413622,0.630605424962958,0.5757203483847239,0.4857683148438276,0.524876928325742,0.3650427086254492,0.40930880341014386,0.39740483650244435,0.5576043227602068,0.5294302774881949,0.5185938850096095,0.458194156606274,0.41616359046856366,0.3176880726533916,0.5098102434021047,0.47260283525187563,0.5220035408864502,0.38360437393489616,0.45394419588308266,0.4466703070720262,0.49315188229301005,0.5157268913366441,0.24618926848434664,0.3888979605779305,0.289806627084887,0.5194848599962281,0.4892623507172357,0.4482103885838345,0.5612550149190265,0.48492303980890417,0.5453219869090438
FUE_2,0.62678920338132,0.06950419801633298,0.6180204142784295,0.6395014023312623,0.46449581537309725,0.5628317843119417,0.6751504036251442,0.6200370880835772,0.5299901822039411,0.5691210672907031,0.4092475175437731,0.45351599257429925,0.4416111668418998,0.6018864640301295,0.5736783333082154,0.5628331739860242,0.5024080758273424,0.46037137545764545,0.3618918596624712,0.5540436987549872,0.5168203611230645,0.566245385922685,0.4278099339931445,0.4981572354483694,0.4908820044478751,0.5373767351594256,0.5599641622173834,0.2903925637718784,0.4331037912336152,0.3340101376657568,0.5637248001268216,0.5334855759125593,0.49242235404909085,0.6055431546887666,0.5291445927181291,0.5895868879423994
FUE_3,0.6487602309099983,0.09149586355036934,0.6399947657172167,0.6614664466015145,0.4864866814721427,0.5848177173993726,0.6970877156965933,0.6420107259152656,0.5519788785569424,0.5911062307666644,0.4312389189289113,0.47550701656007455,0.46360232700018555,0.6238655962534373,0.5956628753282319,0.5848191069138855,0.5243980326484712,0.48236230497015914,0.38388342307156303,0.5760305571053714,0.5388097459988389,0.5882309133388529,0.44980121628308956,0.5201473317607159,0.5128723135936247,0.5593649580075908,0.5819504152981012,0.31238420514254417,0.45509503061926193,0.3560017449021275,0.585710629752564,0.5554740569142416,0.5144126206838038,0.6275213345518856,0.5511333389420271,0.6115687568000446
FUE_4,0.5581605300200462,0.0,0.5492496648744014,0.5711295226975169,0.39502524072026973,0.4935692012100552,0.607986726168414,0.5512968059871846,0.46061098172375414,0.49989101361208893,0.3397544267774998,0.3840387755404059,0.37212822168262616,0.5329120893492998,0.5044745627571291,0.49357059762646527,0.4329757726132173,0.3908981328568105,0.29239195561845677,0.4847420359585508,0.447412146442982,0.49699994675843895,0.35832185191215615,0.42871905910864844,0.421434868352576,0.46801749809256227,0.49068806023665806,0.22088938170084546,0.36361751366828515,0.2645083908021152,0.494466588812287,0.4641154538352065,0.4229770074308754,0.5366092756082076,0.4597632901092222,0.5204963347571803
FUE_5,0.6308805518699846,0.07378904733263959,0.6221428823420199,0.6435367771484807,0.4687731567418543,0.5670628192759559,0.6789270716692676,0.6241528736544902,0.5342471513400605,0.5733448813360355,0.4135298859763097,0.4577948166669642,0.4458912697705163,0.606053721826356,0.5778963171924743,0.567064207452773,0.5066768788774652,0.46464931234142137,0.3661757498092743,0.5582834162810979,0.5210837941495352,0.5704726145391854,0.43209118392086454,0.5024273482668289,0.49515411574845886,0.5416292594395361,0.5641981998093245,0.2946771861414757,0.4373846382230658,0.33829443944150656,0.5679548643020021,0.5377405234719428,0.496694066170027,0.6097014872452579,0.5334020300198996,0.5937798006068984
FUE_6,0.6046760579782365,0.04714990468061955,0.5958683446122907,0.6174584062977782,0.4421508396518897,0.5405443458836758,0.6534339515726502,0.5978933722540755,0.5076705049358475,0.5468426118951577,0.3868963027205756,0.4311691764941767,0.41926276356725534,0.5796784672420937,0.551407132930372,0.5405457374200978,0.48007370026306956,0.43802566056767306,0.33953875651330045,0.5317454628266743,0.49449265442100565,0.543962682337973,0.4054601072274175,0.4758212335682326,0.4685435212726081,0.5150625806369732,0.5376729892908444,0.2680385520386134,0.41075446452883224,0.31165652374007446,0.5414385692184485,0.5111684103223351,0.4700843664734296,0.5833462934867781,0.5068243338171273,0.5673469077259313
FUE_7,0.5643631506667397,0.006298516013685327,0.5554679489184337,0.5773037319161675,0.40132010159244413,0.4998414028336724,0.6140255044957914,0.5575117344547912,0.4668958983676586,0.5061596637666783,0.3460517355826603,0.39033435866901234,0.3784244275876952,0.5391527533256294,0.5107403418893066,0.499842798514188,0.43926647038832317,0.3971932838374493,0.298690004963553,0.49101850146591697,0.4537002224526021,0.503270276913099,0.3646186162623469,0.43501039593637136,0.427727179958918,0.47430023996348664,0.4969617372063685,0.22718778730490272,0.3699140818517742,0.2708066404290924,0.500738313256613,0.47039938159274247,0.4292691243631161,0.5428454952872486,0.46604843570959226,0.5267497312536621
FUE_8,0.5403133865977265,0.023491439169701294,0.5312574526822487,0.5535467133287221,0.37633045168229773,0.47508116623602126,0.5916856687145201,0.5333356326524049,0.4420068117221905,0.4814354702686756,0.3210373583661086,0.36533741188200725,0.35342118973039527,0.5147134094825729,0.4860453029407658,0.4750825693825427,0.41431889853105985,0.3722007028780958,0.2736681495041985,0.4662150225879837,0.42877916621556633,0.47852903052992485,0.3396097377948391,0.41005636284736047,0.4027632926840505,0.4494331705510131,0.4721865345303328,0.20216233457193755,0.3449071847129977,0.24578276262351592,0.4759829180855996,0.4455203052713093,0.4043072049383987,0.5184515216796223,0.4411570316356705,0.5021806111983805
FUE_9,0.7769595693564612,0.21858985192042457,0.7680144484202505,0.7899907852462854,0.6136230426176497,0.7122163285220926,0.8271461538098241,0.7700689252834322,0.6792304217949284,0.7185458783320168,0.5583469041866718,0.6026350063748058,0.590723097902303,0.7516279874371301,0.7231356837090523,0.7122177265415779,0.6515826315486168,0.6094953036972527,0.5109828224457958,0.7033798760711419,0.6660247103989689,0.7156511511281979,0.5769155134912441,0.6473245275954246,0.6400382160280393,0.6866416721922736,0.7093319738002899,0.43947947373647844,0.58221160191292,0.4830988220544182,0.7131147556292308,0.6827370464251487,0.6415807786453704,0.7553348760159961,0.6783822318278963,0.7391844517660138
FUE_10,0.5710793484237843,0.015124988091972913,0.5625225251289576,0.5834122130376044,0.4100644061220422,0.5080794562437873,0.6173391294103062,0.5644936174603791,0.47541736906554494,0.5143188545336418,0.35485105399896205,0.39909488832249174,0.38719895202158683,0.5466950074487797,0.5188358747932602,0.5080808355698042,0.4479173602783821,0.40594410484449905,0.3075059784669097,0.4993514094382381,0.46229237680025304,0.5114667569314858,0.37340569333433493,0.44367561350272633,0.4364142605159636,0.48277311572708,0.5052325899329562,0.2360117753057035,0.37869674914510276,0.2796271193621529,0.5089657630212446,0.47889874966522916,0.43795183783913455,0.550290507088468,0.47457502527733214,0.5345716775496819
