"fue","MUE"
"fue 2","MUE 14"
"fue 5","MUE 7"
"fue 6","MUE 11"
"fue 7","MUE 6"
"fue 8","MUE 34"
"fue 10","MUE 26"
"fue 17","MUE 17"
"fue 18","MUE 5"
"fue 19","MUE 21"
"fue 20","MUE 31"
"fue 21","MUE 1"
"fue 23","MUE 23"
"fue 24","MUE 12"
"fue 30","MUE 15"
"fue 35","MUE 3"
"fue 39","MUE 30"
"fue 42","MUE 13"
"fue 44","MUE 18"
"fue 46","MUE 20"
"fue 51","MUE 36"
"fue 52","MUE 25"
"fue 54","MUE 33"
"fue 55","MUE 4"
"fue 56","MUE 24"
"fue 57","MUE 9"
"fue 61","MUE 32"
"fue 65","MUE 22"
"fue 71","MUE 8"
"fue 74","MUE 10"
"fue 78","MUE 19"
"fue 79","MUE 35"
"fue 80","MUE 29"
"fue 85","MUE 28"
"fue 86","MUE 16"
"fue 88","MUE 27"
"fue 90","MUE 2"
