,FBS,Bid
FUE 1,1,0.715037078
FUE 2,1,0.903720561
FUE 3,1,0.890922504
FUE 4,1,0.334163053
FUE 5,1,0.698745832
FUE 6,2,0.197809827
FUE 7,2,0.028674152
FUE 8,2,0.74407426
FUE 9,2,0.500022436
FUE 10,2,0.479922141
FUE 11,3,0.071445465
FUE 12,3,0.609866648
FUE 13,3,0.61766639
FUE 14,3,0.859442306
FUE 15,3,0.805489425
FUE 16,4,0.576721516
FUE 17,4,0.182922469
FUE 18,4,0.239932011
FUE 19,4,0.886511933
FUE 20,4,0.030540946
FUE 21,5,0.489901389
FUE 22,5,0.167927146
FUE 23,5,0.97868065
FUE 24,5,0.712694472
FUE 25,5,0.500471624
FUE 26,6,0.471088375
FUE 27,6,0.059618868
FUE 28,6,0.681971904
FUE 29,6,0.042431138
FUE 30,6,0.904722238
