,FBS,Bid
FUE 1,1,0.25815
FUE 2,1,0.51337
FUE 3,1,0.8934
FUE 4,1,0.12055
FUE 5,1,0.94409
FUE 6,1,0.94376
FUE 7,1,0.29361
FUE 8,1,0.071566
FUE 9,1,0.56234
FUE 10,1,0.25682
FUE 11,1,0.84487
FUE 12,1,0.31019
FUE 13,2,0.30803
FUE 14,2,0.9046
FUE 15,2,0.41812
FUE 16,2,0.18037
FUE 17,2,0.67068
FUE 18,2,0.10568
FUE 19,2,0.86044
FUE 20,2,0.67731
FUE 21,2,0.17336
FUE 22,2,0.48941
FUE 23,2,0.28624
FUE 24,2,0.81298
FUE 25,3,0.07572
FUE 26,3,0.56219
FUE 27,3,0.5635
FUE 28,3,0.58039
FUE 29,3,0.27518
FUE 30,3,0.53061
FUE 31,3,0.54565
FUE 32,3,0.54409
FUE 33,3,0.29833
FUE 34,3,0.083803
FUE 35,3,0.01094
FUE 36,3,0.09407
FUE 37,4,0.72352
FUE 38,4,0.39916
FUE 39,4,0.71354
FUE 40,4,0.76859
FUE 41,4,0.88367
FUE 42,4,0.33043
FUE 43,4,0.49179
FUE 44,4,0.17098
FUE 45,4,0.85612
FUE 46,4,0.52022
FUE 47,4,0.85701
FUE 48,4,0.075576
FUE 49,5,0.9318
FUE 50,5,0.2759
FUE 51,5,0.32032
FUE 52,5,0.44437
FUE 53,5,0.79097
FUE 54,5,0.3261
FUE 55,5,0.73395
FUE 56,5,0.072121
FUE 57,5,0.44253
FUE 58,5,0.020742
FUE 59,5,0.079417
FUE 60,5,0.18755
FUE 61,6,0.041154
FUE 62,6,0.81931
FUE 63,6,0.15357
FUE 64,6,0.44255
FUE 65,6,0.20779
FUE 66,6,0.24194
FUE 67,6,0.47062
FUE 68,6,0.61952
FUE 69,6,0.49481
FUE 70,6,0.4966
FUE 71,6,0.53596
FUE 72,6,0.33818
