,MUE 1,MUE 2,MUE 3,MUE 4,MUE 5,MUE 6,MUE 7,MUE 8,MUE 9,MUE 10,MUE 11,MUE 12,MUE 13,MUE 14,MUE 15,MUE 16,MUE 17,MUE 18,MUE 19,MUE 20
FUE 1,56.30423402,56.26082114,55.74264919,55.83033481,55.35866313,55.68482622,51.83524759,54.33205231,54.78074053,49.65929083,47.61977352,53.46017386,54.61102958,33.15868372,29.84822178,41.3410515,51.17943078,50.41693567,53.40149754,49.78152179
FUE 2,73.47971433,73.42614335,72.79584237,72.90138035,72.33856181,72.7264817,68.39883997,71.14951054,71.66376751,66.09957585,63.99057004,70.17021835,71.4683383,49.41997852,46.10737556,57.62480845,67.69876708,66.89299266,70.10514272,66.22714546
FUE 3,73.37919144,73.32042567,72.63398101,72.74831304,72.14115423,72.55896551,68.0153511,70.87640517,71.42071901,65.66569592,63.52916471,69.8492755,71.21342154,48.91642158,45.60300902,57.12977862,67.29696,66.47352461,69.7814034,65.79540582
FUE 4,69.31101999,69.25320728,68.57700373,68.68973879,68.09060512,68.50301374,63.99775653,66.83940227,67.37836059,61.65682697,59.52502675,65.82073362,67.17318144,44.91948053,41.60620564,53.13138633,63.28254706,62.46216867,65.75335376,61.78616796
FUE 5,65.0884212,65.03857961,64.44907924,64.54816607,64.01810732,64.38387885,60.22247137,62.88635311,63.37764913,57.96416495,55.87789942,61.94418999,63.19125283,41.34264773,38.03072974,49.54027753,59.53718794,58.74577968,61.88130744,58.08997734
FUE 6,55.39971635,55.3453169,53.75996577,53.77832755,54.55040136,53.84941425,53.14302393,46.96440693,49.45952536,40.31609858,51.76976775,44.06159621,52.70786054,45.85545107,44.76073686,49.64647575,33.44248181,51.4002191,51.6454314,51.12405245
FUE 7,62.59001977,62.55424664,62.08192242,61.92457895,60.86662648,56.39740328,61.60555951,59.0340195,57.50442931,60.33324754,60.30566147,56.80190036,45.86882601,60.02705471,59.75106022,59.36508747,57.53333913,56.85997452,47.18144754,56.93854827
FUE 8,71.74692343,71.70607396,70.46315537,70.47809208,71.095085,70.53580728,69.95465123,64.35946544,66.70327831,57.86943912,68.78091738,61.55443491,69.58862077,63.29543878,62.23545301,66.8752877,51.03133091,68.45638377,68.67210331,68.21171929
FUE 9,60.86596244,60.82937041,59.70010416,59.71384373,60.27794037,59.76689745,59.23016988,53.86696017,56.14635085,47.44786886,58.13093213,51.10530721,58.8894218,52.82269017,51.77817881,56.31217011,40.62619688,57.82386856,58.0281138,57.59158047
FUE 10,60.6915206,60.63905874,59.10098687,59.11889151,59.86993683,59.18819056,58.49835743,52.39161053,54.86889658,45.76137824,57.15063677,49.50003528,58.07215792,51.28784508,50.19711043,55.05405619,38.89173701,56.78670903,57.02824441,56.51444574
FUE 11,63.28221535,63.23262755,62.92152126,62.93895393,60.0149643,62.36058506,59.41462347,61.94242525,61.98631456,60.75285872,49.69694209,61.24776834,59.56014522,56.52628748,56.22585441,46.6138226,60.3950436,40.47208548,56.49342095,37.58549258
FUE 12,69.93072344,69.89997379,69.06930917,68.73915204,69.21242476,66.44541703,69.04718484,60.28373714,57.94487731,65.57357089,68.20574384,52.23769865,65.35155754,66.78508557,66.38173363,67.23598181,56.89101461,66.8762009,64.74430025,66.77480976
FUE 13,65.2734511,65.2458089,64.49198145,64.18883062,64.62279307,62.03815249,64.47172632,56.03787446,53.72093155,61.20449196,63.69524551,48.03633145,60.99108468,62.36084971,61.97751287,62.78718344,52.67370905,62.44719412,60.40531291,62.35110601
FUE 14,86.13763368,86.10544921,85.23977816,84.89752924,85.38843895,82.54151719,85.2168134,76.31299464,73.96532521,81.65353781,84.34648775,68.24913589,81.42791618,82.88842113,82.47654038,83.3498609,72.90880573,82.98157773,80.81169478,82.87791784
FUE 15,56.98840063,56.94406323,55.79311741,55.35703359,55.98558705,52.55112315,55.76355625,45.89265893,43.49183443,51.55478747,54.67313708,37.72205102,51.30535105,52.9476488,52.47734403,53.48257994,42.41943235,53.054923,50.63060935,52.93557552
FUE 16,55.06175507,55.03988536,54.74462547,54.64361499,53.9313258,50.3934632,54.43482728,52.57269164,51.33595388,53.55137413,53.53136178,50.74194313,40.42607155,53.32730984,53.12176909,52.82884353,51.36007377,50.79160053,41.71820571,50.85863241
FUE 17,63.43091807,63.40547212,63.0639189,62.94788637,62.14025084,58.31713043,62.70928828,60.6417494,59.31312705,61.71619799,61.69397981,58.6839805,48.15678405,61.46806811,61.24162547,60.92072817,59.33878416,58.73638433,49.4562519,58.80717654
FUE 18,72.84131994,72.81237532,72.42604169,72.29567814,71.3992901,67.33158097,72.02892542,69.77713281,68.37122378,70.93543332,70.91124434,67.71330616,57.02160199,70.66590395,70.42105555,70.07578547,68.39814934,67.7679437,58.32654493,67.84179841
FUE 19,54.59007729,54.56720999,54.25898314,54.15374351,53.41436562,49.79288879,53.93653214,52.01521886,50.75135965,53.02173999,53.0010913,50.14687074,39.76671439,52.7907209,52.57911738,52.27804594,50.77593661,50.19734933,41.06111601,50.26550495
FUE 20,64.82849227,64.78545556,63.48532679,63.50085449,64.14420533,63.56087322,62.95791152,57.25407157,59.62721075,50.73247552,61.74835022,54.42964739,62.57961978,56.18117714,55.11428637,59.80207153,43.88715789,61.41554541,61.63669194,61.16505088
FUE 21,63.42267441,63.38806061,63.13114882,63.09668172,59.58519714,61.41408431,62.07732848,61.99179625,61.7114099,61.87155309,59.40131557,61.11940201,51.67625564,60.66953595,60.43445583,58.32772586,60.83580726,49.43481593,41.13596385,50.36367902
FUE 22,59.13928222,59.0925597,58.74970504,58.70421346,54.48706241,56.59900675,57.40498636,57.29951905,56.95705813,57.15205461,54.28154088,56.2488512,46.16028051,55.72240942,55.45083825,53.09999056,55.9159087,43.88793764,35.55041641,44.82768543
FUE 23,67.14383686,67.1101585,66.85996744,66.82637288,63.3760441,65.17909612,65.82999182,65.74615786,65.4711142,65.6282474,63.19421439,64.88933333,55.50877582,64.44637167,64.21462875,62.13103032,64.61017276,53.27059725,44.97586215,54.19830877
FUE 24,96.79541152,96.75944356,96.4928236,96.45709879,92.85897188,94.72410174,95.40485323,95.31690608,95.02893743,95.1933496,92.67223399,94.4224781,84.89264399,93.96290196,93.72314182,91.58420843,94.13264301,82.64676836,74.34232742,83.57719695
FUE 25,55.28181423,55.25517962,55.05597909,55.0290545,52.0775119,53.66196254,54.21257298,54.14237782,53.9105578,54.04328003,51.91358219,53.41288774,44.59091112,53.02776042,52.82428333,50.94246188,53.17077073,42.38414082,34.12941799,43.30073287
FUE 26,84.26729681,84.21558027,83.89168113,83.90980569,80.90199868,83.30995278,80.29051563,82.87800467,82.92327764,81.65592613,70.50629212,82.1632615,80.43859601,77.36586823,77.06287732,67.41916445,81.28998869,61.27449521,77.33271311,58.38744516
FUE 27,68.33299611,68.2786433,67.93896202,67.9579375,64.84920103,67.33180298,64.22461983,66.88313885,66.93008397,65.62210494,54.36366774,66.14425305,64.37570152,61.25778886,60.95185505,51.27199836,65.24653491,45.12401236,61.22430152,42.23644564
FUE 28,80.03935431,79.98731155,79.66145587,79.67968608,76.6592206,79.0765617,76.04607586,78.64252378,78.68800612,77.41554773,66.25202992,77.9247499,76.19453738,73.11604705,72.81267901,63.16431609,77.04839334,57.01921844,73.08284937,54.13210163
FUE 29,83.24585917,83.19308272,82.86283035,82.88129781,79.83253889,82.27083563,79.2156998,81.83211973,81.8780704,80.59420919,69.39990873,81.10757459,79.3650083,76.27373792,75.96953538,66.31090222,80.22434393,60.16486015,76.24044605,57.2775962
FUE 30,73.72305658,73.68870981,72.77083185,72.41079124,72.92769287,69.96504541,72.74662654,63.6436063,61.28394268,69.05432506,71.83402225,55.55554462,68.82364507,70.32221461,69.89823794,70.79868738,60.22381726,70.41827474,68.19490062,70.31138795
