"","MUE 1","MUE 2","MUE 3","MUE 4","MUE 5","MUE 6","MUE 7","MUE 8","MUE 9","MUE 10","MUE 11","MUE 12","MUE 13","MUE 14","MUE 15","MUE 16","MUE 17","MUE 18","MUE 19","MUE 20"
"FUE 1","53.755610885753","53.05186607221","53.98835249281","53.658342877162","53.135759461301","52.522567439548","44.712952723486","45.360334956425","48.740859249047","44.341523331397","51.552516038426","52.244786743883","52.025263134283","48.433920611537","37.231070911941","50.612961585685","50.643284611326","22.452950867523","50.482347886922","50.316815212541"
"FUE 2","62.039675894236","61.546428765341","62.197450306889","61.972936223235","61.6064729786","61.160142236249","54.404707690496","55.014193274624","58.085076079501","54.052730757973","60.420648769065","60.952425407629","60.785933683421","57.816006897417","47.121815653795","59.669164358202","59.693915247837","32.38669964263","59.562191706357","59.425793211644"
"FUE 3","62.650540123056","61.990588031581","62.867276066819","62.559727907194","62.069603876855","61.490093872254","53.870631804844","54.511817596439","57.839989301915","53.5023655322","60.564906926642","61.226150281323","61.016981456297","57.539620878589","46.420552665184","59.660548794872","59.689846758104","31.649145871299","59.534272234143","59.374057991871"
"FUE 4","58.517557337467","57.96841897143","58.694759651373","58.442834819067","58.03489583976","57.543014781231","50.469267985756","51.091144108271","54.260563932971","50.110902662164","56.738466592338","57.315790394155","57.134381803987","53.979699792456","43.120113974626","55.932061602219","55.958463950193","28.370410901321","55.818065670053","55.6729749829"
"FUE 5","66.53067418453","65.98912664941","66.705218085811","66.457041024781","66.054734164851","65.568985166394","58.536566127606","59.156882426307","62.313758281205","58.179003508956","64.773098720633","65.344369938004","65.164949655866","62.034408777805","51.195687972023","63.973919032921","64.000105271969","36.447791965117","63.860841365922","63.716885361222"
"FUE 6","96.143933465762","95.572991069632","96.328806857946","96.066072772781","95.641957610107","95.132556412566","87.943163582599","88.569329331024","91.77345742581","87.582593013475","94.303422036066","94.897906152951","94.710850181012","91.48838229846","80.571346594931","93.476651308936","93.503660922637","65.816716381505","93.360076336413","93.211801645558"
"FUE 7","54.471401229728","53.784638615808","54.697909889062","54.376643276434","53.866645748724","53.266452845811","45.529067973202","46.174127338184","49.534943363304","45.158823545129","52.313620230146","52.99399446295","52.778446900171","49.230486232119","38.059075487941","51.387497330397","51.417430125047","23.283458205239","51.258534105428","51.095023937363"
"FUE 8","83.408275174606","83.548093689011","83.300252016128","82.644131736539","83.667136973038","83.470957701474","79.997309225467","81.601542575407","74.889019705344","77.176102984173","76.693315605209","79.549757671337","80.427203034891","66.174591011002","79.241264350341","77.144328699592","81.548276498279","73.159411073945","77.462395430259","81.075824099056"
"FUE 9","67.388191849791","67.54069784929","67.270666611394","66.562020145533","67.670900667765","67.456507288667","63.771506573242","65.451638449562","58.548307977678","60.870594328975","60.378733058675","63.307498688509","64.218955715935","49.79032048841","62.988642217493","60.838190735633","65.395351372655","56.802115591374","61.162773919316","64.897746872345"
"FUE 10","79.121253646889","79.269814692785","79.006677717024","78.314254466282","79.396541079716","79.187818609587","75.567431818774","77.224611238781","70.378452821096","72.69032330199","72.201152499177","75.108363637857","76.009596917622","61.633271359441","74.792611160027","72.658106430403","77.169243094573","68.637146652211","72.980755200108","76.679272148482"
"FUE 11","82.346333064759","82.492166705125","82.233798925463","81.552649009961","82.616493076498","82.411687291129","78.836545062737","80.477521208187","73.671996946217","75.976396104992","75.489152232918","78.380983224661","79.274966934135","64.936043587249","78.067437542192","75.944312898628","80.422798982192","71.934206293405","76.265577391307","79.938202675098"
