,MUE 1,MUE 2,MUE 3,MUE 4,MUE 5,MUE 6,MUE 7,MUE 8,MUE 9,MUE 10,MUE 11,MUE 12,MUE 13,MUE 14,MUE 15,MUE 16,MUE 17,MUE 18,MUE 19,MUE 20,MUE 21,MUE 22,MUE 23,MUE 24,MUE 25,MUE 26,MUE 27,MUE 28,MUE 29,MUE 30,MUE 31,MUE 32,MUE 33,MUE 34,MUE 35,MUE 36
FUE 1,163.1837,163.1771,163.1495,163.1407,163.1094,163.1282,163.1125,162.9679,162.8037,162.7212,162.9561,162.7927,160.4373,161.6173,162.3834,158.7108,162.0704,162.2149,161.978,155.5441,160.6333,161.3193,160.7063,145.5335,153.1443,158.5954,157.9037,160.1683,149.6367,156.3821,160.1464,158.2229,146.1149,156.0769,159.8119,154.0616
FUE 2,70.9709,70.9642,70.9358,70.9267,70.8946,70.9139,70.8977,70.7494,70.581,70.4965,70.7372,70.5697,68.1693,69.3687,70.1507,66.4225,69.8308,69.9785,69.7365,63.2343,68.3682,69.0653,68.4423,53.2057,60.826,66.3059,65.6083,67.8965,57.312,64.0765,67.8743,65.9301,53.7874,63.7696,67.5356,61.746
FUE 3,60.7249,60.7192,60.6949,60.6872,60.6596,60.6762,60.6623,60.5351,60.3898,60.3166,60.5246,60.38,58.2358,59.3229,60.0153,56.609,59.7338,59.864,59.6503,53.5506,58.4179,59.0506,58.4856,43.6329,51.1943,56.4989,55.837,57.9848,47.7197,54.3668,57.9643,56.143,44.2128,54.07,57.6509,52.0977
FUE 4,70.4827,70.476,70.4482,70.4392,70.4076,70.4266,70.4107,70.2647,70.0988,70.0155,70.2527,70.0876,67.7146,68.9022,69.6746,65.98,69.3588,69.5046,69.2657,62.8048,67.9117,68.6021,67.9851,52.787,60.4016,65.8641,65.1701,67.444,56.8914,63.6444,67.422,65.4903,53.3686,63.3385,67.0859,61.32
FUE 5,55.4144,55.4081,55.3816,55.3731,55.3429,55.361,55.3458,55.2066,55.0483,54.9686,55.1952,55.0376,52.7458,53.8981,54.6419,51.0486,54.3384,54.4786,54.2487,47.9132,52.9377,53.6078,53.0091,37.929,45.5258,50.9347,50.2517,52.4821,42.0275,48.7449,52.4606,50.5671,38.51,48.4421,52.1324,46.4391
FUE 6,62.988,62.98,62.9465,62.9358,62.8979,62.9207,62.9017,62.7275,62.5311,62.4329,62.7133,62.5179,59.8277,61.1497,62.0345,57.9568,61.67,61.8377,61.5632,54.6421,60.0444,60.8117,60.1254,44.5111,52.1851,57.8338,57.1006,59.5319,48.635,55.509,59.5078,57.4381,45.0944,55.1925,59.1427,53.1206
FUE 7,58.3902,58.3847,58.3614,58.3539,58.3275,58.3434,58.3301,58.2077,58.0679,57.9973,58.1976,58.0584,55.9765,57.0358,57.7065,54.3806,57.4342,57.5602,57.3534,51.3568,56.1545,56.7711,56.2206,41.4697,49.0147,54.2723,53.6197,55.7311,45.5511,52.166,55.7111,53.9216,42.0491,51.8718,55.404,49.9136
FUE 8,61.3082,61.3026,61.279,61.2715,61.2446,61.2608,61.2473,61.1232,60.9815,60.91,61.113,60.9719,58.8682,59.9372,60.6155,57.2613,60.34,60.4675,60.2582,54.2252,59.0476,59.6699,59.1142,44.3273,51.8781,57.1524,56.4965,58.6208,48.4106,55.037,58.6006,56.7999,44.9069,54.7419,58.2913,52.7786
FUE 9,65.3215,65.3126,65.2753,65.2725,65.22,65.249,65.2376,65.2061,65.0077,65.1005,65.0559,64.8268,64.2813,62.3591,63.7846,63.8727,64.5732,64.4922,63.652,63.0512,57.8133,64.0012,63.7444,58.15,62.2653,50.3051,47.5374,62.9818,61.0708,40.3918,62.5494,52.6249,46.8248,61.8842,60.4284,31.9007
FUE 10,103.4572,103.4473,103.4059,103.4028,103.3445,103.3766,103.364,103.329,103.1092,103.2119,103.1626,102.9099,102.3134,100.258,101.7761,101.871,102.6317,102.5432,101.6334,100.991,95.5618,102.0097,101.7328,95.905,100.1592,87.9883,85.2141,100.9172,98.9096,78.0625,100.4589,90.3181,84.5004,99.7588,98.2434,69.5702
