"","MUE 1","MUE 2","MUE 3","MUE 4","MUE 5","MUE 6","MUE 7","MUE 8","MUE 9","MUE 10","MUE 11","MUE 12","MUE 13","MUE 14","MUE 15","MUE 16","MUE 17","MUE 18","MUE 19","MUE 20","MUE 21","MUE 22","MUE 23","MUE 24","MUE 25","MUE 26","MUE 27","MUE 28","MUE 29","MUE 30","MUE 31","MUE 32","MUE 33","MUE 34","MUE 35","MUE 36","MUE 37","MUE 38","MUE 39","MUE 40","MUE 41","MUE 42","MUE 43","MUE 44","MUE 45","MUE 46","MUE 47","MUE 48","MUE 49","MUE 50"
"FUE 1","68.245969369756","68.219090046157","68.20764322047","68.177213708465","68.147097968285","67.989673444504","68.023599025282","68.100495950147","68.105938574495","68.010274233759","67.585520393757","67.797395337311","66.531941590994","67.716975375296","67.537004366094","67.246351877137","67.283359886892","66.097892816492","65.35553454027","67.090717129983","66.803745727836","66.461139348241","53.423377901483","65.539880102966","66.150807899813","53.797792669905","65.269837028565","53.304369193177","45.32225123258","45.304590284068","58.568659527258","65.829028010011","59.366436494332","58.117724977151","65.703420899601","62.518658324965","52.826154673951","65.495420867763","65.167007192031","61.444240004166","37.661142934741","50.221152728372","63.104681245876","51.533454862059","62.040001730619","60.797707748792","54.705288026193","40.130331671631","55.740875880035","60.179100501753"
"FUE 2","67.083159822174","67.05975943954","67.049788472172","67.023265845421","66.996993273797","66.859283519806","66.889013198999","66.956292629793","66.961048885327","66.877339838052","66.502959833683","66.690250091388","65.556927667415","66.619286596037","66.45992548766","66.200996587382","66.234069708708","65.160765405085","64.475665983416","66.061585196992","65.803192186992","65.492543538618","52.842980502044","64.646625208983","65.209244762125","53.215484129307","64.396014098113","52.724545712891","44.759834314935","44.742186763111","57.940336962975","64.913688109097","58.724290837289","57.496179084151","64.797841853367","61.789680258765","52.248485839005","64.605442769377","64.300293559325","60.751926074873","37.101462273024","49.651843728809","62.351704089369","50.960555098818","61.328443008102","60.123576086448","54.117607054491","39.570217644639","55.145534454999","59.520064285884"
"FUE 3","57.335608436836","57.310652981189","57.300022102807","57.27175196416","57.243759532714","57.097213981724","57.12882604092","57.200416322432","57.205480027791","57.116411929095","56.719362027831","56.917734275946","55.724445882542","56.842512185319","56.673852016603","56.400562284476","56.435419794922","55.310905404904","54.599386035627","56.253784610575","55.982378911234","55.657123593364","42.825459109082","54.776538688059","55.361423633119","43.19888042388","54.51693367109","42.706748695714","34.733668815276","34.716014816074","47.945764807186","55.053797191085","48.736313427769","47.498369891986","54.933448252466","51.84287806731","42.229653886172","54.733841128848","54.417917257599","50.787790848459","27.073979690639","39.628993790088","52.416205738858","40.93943148022","51.373415411446","50.150816539813","44.103581946676","29.542943689086","45.135183254497","49.540130156147"
"FUE 4","72.604821918606","72.578454622237","72.567224906324","72.537369822602","72.507818712541","72.353283946878","72.38659543689","72.462082882258","72.467424814836","72.373512400769","71.956095263577","72.164398650388","70.91793854752","72.085354528363","71.908373237044","71.622298991586","71.658740684821","70.48924513252","69.754904740652","71.468994506016","71.186109900569","70.848046346421","57.863228233564","69.937383966946","70.541535285812","58.237392259062","69.67004849453","57.744294805097","49.764455926559","49.746796729051","63.002193030715","70.223441921862","63.798136760738","62.552155364459","70.099202136487","66.938726396165","57.266362829311","69.893382043522","69.568206647314","65.869244233578","42.103705171549","54.662455975155","67.521498702459","55.974287963416","66.462419495933","65.225146540523","59.144182235302","44.572837294241","60.178762988586","64.608553840009"
"FUE 5","84.572975725259","84.547300598221","84.53636443388","84.507286194396","84.478498913367","84.327877060438","84.360356520287","84.433935312333","84.439140948471","84.347601004939","83.940143810491","84.143593674434","82.923053388993","84.066418118355","83.893502062188","83.6136658531","83.649335075419","82.50171685694","81.778431349931","83.46354241451","83.186246470105","82.854409832464","69.943318927002","81.958332974247","82.55314740704","70.317128668951","81.694737840697","69.824491873718","61.847875590394","61.830218870355","75.073373466679","82.240129179909","75.86673714861","74.624599006048","82.117774358029","78.991016821535","69.346959189403","81.914962401362","81.594262206717","77.928443028692","54.187630767362","66.744600515202","79.569250022228","68.055767722314","78.517996071539","77.287759560187","71.222922253422","56.656682772854","72.256081092949","76.673995534913"
"FUE 6","54.880432857872","54.856505248876","54.846310509939","54.819195204621","54.7923391789","54.651629516114","54.681998634433","54.75074175958","54.755602369122","54.67007366436","54.287979716582","54.479044190281","53.325223139878","54.406631087786","54.244101360221","53.980270269998","54.013953088425","52.92308549392","52.228871667212","53.838340192898","53.575490999205","53.259829846087","40.546842125325","52.401970772821","52.972266715731","40.919669730906","52.148251537418","40.428310021778","32.460642068596","32.442992237516","45.652287244119","52.672551988917","46.438560376592","45.206990120067","52.555152606675","49.518378830738","39.95188470842","52.36026503143","52.051390951576","48.474561460291","24.801804370422","37.353823299104","50.084348331798","38.663144572382","49.054266251801","47.843188775145","41.822702761265","27.270633508403","42.851926247995","47.237159417739"
"FUE 7","61.307903288334","61.285402027164","61.275812764705","61.250301373974","61.225024664357","61.092440994977","61.121077230041","61.185855377488","61.190433391346","61.109834069906","60.748676215261","60.929489282151","59.831531112484","60.861011748835","60.70709242701","60.456603852504","60.488625817447","59.445763692801","58.776595568837","60.321539101899","60.070853245111","59.768899790121","47.231785231529","58.943806184291","59.493020045755","47.603702764299","58.698641511231","47.113526513425","39.154169703591","39.136526283661","52.314545510108","59.204716781432","53.094328258735","51.87243881921","59.091584711418","56.133906702688","46.638127928582","58.903539987583","58.604921394721","55.1069693619","31.496641941863","44.044055625898","56.688913907146","45.351662405271","55.677793852692","54.484027661127","48.504179916308","33.965263550893","49.529765232183","53.885028364052"
"FUE 8","72.982825811372","72.957152296283","72.946216815653","72.91714038574","72.888354884281","72.737742152585","72.770219672232","72.843794014919","72.848999333404","72.757464920582","72.350030977848","72.553469504454","71.332989912534","72.476298311652","72.303391754695","72.023570139328","72.059237553332","70.911670673522","70.188411207328","71.873454150806","71.596171308398","71.264349288993","58.353433071108","70.36830675392","70.963099201529","58.727241966498","70.104720440894","58.234606272021","50.257997692445","50.240340978331","63.483466340766","70.650092918738","64.276823871928","63.034694892922","70.527742536686","67.401064746962","57.757074541918","70.324937669361","70.004248030637","66.338507369815","42.597754079385","55.154719568331","67.979287176052","56.465885186255","66.928051802265","65.697832023874","59.633033170466","45.066805893262","60.666188613813","65.084074732971"
"FUE 9","56.669291838081","56.647161220721","56.637729340811","56.612634992016","56.587769118037","56.45730228468","56.485486681584","56.549231841148","56.553736276278","56.474421271883","56.118738704639","56.296866623763","55.213638141919","56.22941898708","56.07775702834","55.830777601061","55.86236201096","54.832232751669","54.169778793436","55.697523779112","55.450055253873","55.15174131832","42.662640783131","54.335406424324","54.878975120754","43.034303425598","54.092542343983","42.544458647311","34.587432950693","34.569791331172","47.739067898172","54.593723198953","48.517046427549","47.297849359095","54.481734790867","51.545515328304","42.069347730608","54.295526964495","53.999668243378","50.523222272711","26.930273121987","39.476393919967","52.097518722084","40.783519817032","51.09160061365","49.90260886664","43.934065100827","29.398836431114","44.958632898682","49.305555402083"
"FUE 10","95.091388843626","95.065216762125","95.054069830813","95.024433805874","94.995098057067","94.841666108925","94.874743158821","94.949692683401","94.954996196699","94.861752411675","94.447139405823","94.654076904557","93.414898505688","94.575558767943","94.399721244119","94.115400595302","94.151625234707","92.988266184161","92.257018189068","93.962989648217","93.681673727229","93.345356300109","80.381075888768","92.438776886351","93.040315641953","80.75514182453","92.17248686734","80.262171911044","72.283224984149","72.265566472172","85.517571964024","92.723642858817","86.312800168813","85.067884510818","92.599930388902","89.448859445931","79.784350477347","92.394951475757","92.071026725467","88.381297695967","64.622614217796","77.180872160522","90.03036875486","78.492520150415","88.973466316212","87.738148286714","81.66165590087","67.091724173275","82.695842848362","87.12234082883"
"FUE 11","59.732969021949","59.699317211709","59.68500214254","59.646993655593","59.60944205883","59.414174107948","59.456111994211","59.551459402483","59.558223344932","59.439631016648","58.920251114112","59.177913220495","57.67473461506","59.079793393275","58.861626367324","58.513176664947","58.557289201376","57.176124419101","56.339010486461","58.328439794654","57.990932649063","57.592887830847","43.960063585378","56.545213065217","57.236519977789","44.337096900578","56.243499664413","43.840269055726","35.834433988797","35.816754873059","49.171845562802","56.870812448749","49.989132442854","48.71140089965","56.729034359406","53.267431385603","43.359106548072","56.495387112629","56.129175653286","52.139022840082","28.169617797466","40.742699366741","53.88941266507","42.059893983376","52.76298316147","51.466129518521","45.251967940748","30.639393419957","46.298110206367","50.825840488485"
"FUE 12","59.760505729829","59.73275672391","59.720941219069","59.689536496828","59.658462519834","59.496139026854","59.531104932745","59.610391142486","59.616004534901","59.517370538479","59.080215375133","59.298120326963","58.000751007784","59.215375898057","59.030360611967","58.73200172131","58.769961811652","57.55777074625","56.80209524395","58.572452882341","58.27863053895","57.928428954988","44.803687965323","56.989534842037","57.611726553464","45.178508126286","56.71500422664","44.684557559114","36.698757830045","36.681094054796","49.959201124139","57.283813088806","50.759954744225","49.506811491251","57.155934569986","53.931141074415","44.205886327463","56.944317142832","56.610538760635","52.848658785891","29.037072394014","41.599114974694","54.522487577128","42.912176608568","53.448642885658","52.19815817582","46.087144245378","31.506352508087","47.124361654718","51.576271621951"
"FUE 13","61.962830787207","61.939741463321","61.92990253729","61.903729685844","61.877801519761","61.741863736237","61.771215551569","61.837630374322","61.842325005372","61.759690863479","61.389875595836","61.574930843487","60.453784598461","61.504825408745","61.347341478001","61.091321072514","61.124032172461","60.061189003907","59.381545035184","60.953406067941","60.697663929175","60.390002283915","47.778715255664","59.551221784755","60.109249016081","48.151021076334","59.302473771777","47.660339886947","39.697434792497","39.679788633946","52.871140246468","59.816178277777","53.653682846379","52.427676045388","59.701261538733","56.710319325145","47.18450317055","59.510352877786","59.207437144312","55.676237502324","32.039347423293","44.588728049559","57.269957751933","45.897066799786","56.25082258189","55.049721384159","49.052588459347","34.508057695552","50.079725032445","54.447738551858"
"FUE 14","57.943356245004","57.9229178998","57.914204834655","57.891015946907","57.868028174297","57.747254000873","57.773367288215","57.832382012992","57.836549743212","57.763116497091","57.432618386708","57.598373323877","56.583551679053","57.535666311805","57.394417099668","57.163685176899","57.193239650232","56.222657861544","55.592007148372","57.0388450285","56.806373418442","56.525100473551","44.26872347915","55.750111148485","56.266977210234","44.639110165864","55.518186560028","44.150924794576","36.20559057057","36.187957995427","49.313579950422","55.99613397876","50.0826147164","48.876772244237","55.889560992974","53.056494984413","43.677254609298","55.71206832117","55.429343729552","52.056922041078","28.550279528121","41.089908008919","53.593879465553","42.394622088631","52.613315833494","51.447752869351","45.535292636228","31.018549829543","46.554776343319","50.860291639905"
"FUE 15","58.998227223238","58.977406851567","58.968531480798","58.944912246588","58.921500163617","58.798533915317","58.825115919233","58.885200548886","58.889444398878","58.814680790929","58.478470565779","58.647035033258","57.61660260859","58.583252299651","58.439637084703","58.205204610465","58.235222009198","57.25099088096","56.612991052454","58.078443948982","57.842542002815","57.557360067858","45.246404431164","56.77283735633","57.295868447651","45.617096488772","56.538378661676","45.128513962946","37.180378284513","37.162743539979","50.29879659455","57.021702199645","51.069958601097","49.860938558519","56.91387808322","54.056750362155","44.654498866273","56.734369420181","56.448600760291","53.051818629299","29.524623719526","42.065809069944","54.5975715609","43.371101057288","53.611041779528","52.43994208809","46.514135195988","31.992964322863","47.534834224294","51.850207419415"
"FUE 16","67.110065874256","67.088760600466","67.075435011602","67.00530027129","67.036630585537","66.839490137291","66.969242178545","66.976944651193","66.904155403765","66.667171136012","66.430926161618","66.527591474106","66.379196756503","66.048995180882","65.54776800611","66.354230103942","65.151370657981","65.958868964383","58.501594633205","65.344077056782","65.314813383584","65.486924921513","62.22829801998","59.232117724741","62.464456393081","57.113758043837","58.615869192605","62.557281009344","59.822716415523","59.357169399134","63.68643980567","64.721127111389","41.85476045724","63.428278058576","64.567806657036","47.268434753989","50.201867351465","64.350319481984","64.461448321105","63.876529156269","59.448787939106","50.886743789703","64.140433394485","49.022955334229","63.833188157978","63.44829629935","42.027236493276","59.157262891808","62.095790755352","63.123972945585"
"FUE 17","57.336013544166","57.315649557761","57.302910466322","57.235834354104","57.265804166473","57.077070082383","57.201330485919","57.208701992572","57.139018089996","56.91180542965","56.684805267711","56.777746159677","56.635036438505","56.316833409047","55.832216607023","56.611008027505","55.447702333487","56.229832147276","48.896620295205","55.634763178658","55.606372553164","55.773266478145","52.586054270889","49.622099871434","52.818613975985","47.516325652314","49.010160420818","52.90997050394","50.207958527697","49.746200566526","54.018567761252","55.029218300914","32.276822363198","53.765579874681","54.879821821007","37.689010046106","40.620430197557","54.66767420428","54.776107295829","54.204650245401","49.837104925613","41.304606849344","54.462699412693","39.442492298504","54.162237992461","53.785207618909","32.449274093225","49.547801418891","52.455483361082","53.466998483321"
