"fue","MUE"
"fue 1","MUE 30"
"fue 5","MUE 35"
"fue 6","MUE 11"
"fue 7","MUE 6"
"fue 9","MUE 10"
"fue 10","MUE 3"
"fue 18","MUE 33"
"fue 22","MUE 17"
"fue 26","MUE 8"
"fue 28","MUE 18"
"fue 29","MUE 12"
"fue 33","MUE 21"
"fue 34","MUE 24"
"fue 37","MUE 15"
"fue 38","MUE 23"
"fue 41","MUE 22"
"fue 43","MUE 9"
"fue 44","MUE 2"
"fue 48","MUE 19"
"fue 49","MUE 4"
"fue 53","MUE 27"
"fue 54","MUE 5"
"fue 55","MUE 13"
"fue 57","MUE 29"
"fue 61","MUE 36"
"fue 62","MUE 32"
"fue 63","MUE 28"
"fue 64","MUE 31"
"fue 66","MUE 7"
"fue 67","MUE 20"
"fue 68","MUE 1"
"fue 70","MUE 25"
"fue 71","MUE 14"
"fue 72","MUE 26"
"fue 76","MUE 16"
"fue 78","MUE 34"
