"fue","MUE"
"fue 2","MUE_30"
"fue 3","MUE_19"
"fue 6","MUE_35"
"fue 7","MUE_33"
"fue 9","MUE_4"
"fue 12","MUE_17"
"fue 23","MUE_18"
"fue 24","MUE_27"
"fue 25","MUE_8"
"fue 32","MUE_16"
"fue 33","MUE_12"
"fue 39","MUE_28"
"fue 40","MUE_21"
"fue 46","MUE_34"
"fue 53","MUE_32"
"fue 56","MUE_26"
"fue 60","MUE_13"
"fue 63","MUE_9"
"fue 64","MUE_22"
"fue 65","MUE_23"
"fue 66","MUE_31"
"fue 69","MUE_11"
"fue 71","MUE_36"
"fue 75","MUE_25"
"fue 78","MUE_20"
"fue 83","MUE_7"
"fue 87","MUE_15"
"fue 95","MUE_10"
"fue 100","MUE_24"
"fue 101","MUE_5"
"fue 103","MUE_2"
"fue 106","MUE_14"
"fue 108","MUE_6"
"fue 109","MUE_29"
"fue 111","MUE_1"
"fue 115","MUE_3"
