"fue","MUE"
"fue 1","MUE 13"
"fue 3","MUE 19"
"fue 4","MUE 33"
"fue 5","MUE 32"
"fue 8","MUE 34"
"fue 9","MUE 28"
"fue 10","MUE 5"
"fue 11","MUE 22"
"fue 13","MUE 12"
"fue 14","MUE 36"
"fue 16","MUE 2"
"fue 17","MUE 20"
"fue 18","MUE 10"
"fue 19","MUE 23"
"fue 20","MUE 35"
"fue 21","MUE 6"
"fue 22","MUE 4"
"fue 23","MUE 7"
"fue 27","MUE 1"
"fue 28","MUE 29"
"fue 32","MUE 16"
"fue 33","MUE 27"
"fue 34","MUE 11"
"fue 35","MUE 21"
"fue 36","MUE 14"
"fue 37","MUE 15"
"fue 38","MUE 18"
"fue 39","MUE 9"
"fue 40","MUE 24"
"fue 41","MUE 25"
"fue 42","MUE 8"
"fue 43","MUE 3"
"fue 44","MUE 31"
"fue 45","MUE 17"
"fue 47","MUE 30"
"fue 48","MUE 26"
